imdb_title_id,weighted_average_vote,allgenders_18age_avg_vote,allgenders_30age_avg_vote,allgenders_45age_avg_vote,males_allages_avg_vote,females_allages_avg_vote
tt4695548,7.2,7.4,7.2,6.6,7.2,7.0
tt4696010,5.3,5.0,5.3,5.7,5.3,5.1
tt4696222,6.6,6.7,6.3,6.8,6.5,6.8
tt4696310,5.6,5.6,5.4,5.9,5.7,5.3
tt4696502,4.6,4.2,4.6,4.8,4.6,4.7
tt4697026,4.8,3.7,4.4,5.0,3.8,
tt4697076,6.6,6.4,5.4,5.4,5.9,7.0
tt4697228,4.1,4.0,3.9,4.4,4.1,3.4
tt4697586,6.4,6.4,6.1,6.4,6.2,6.7
tt4697944,7.0,5.7,7.5,6.3,7.2,6.6
tt4698584,6.9,7.2,6.8,6.7,6.9,6.9
tt4698684,7.9,7.9,7.8,7.7,7.8,8.1
tt4699130,5.5,5.0,5.3,4.3,4.8,6.8
tt4699202,6.6,6.8,6.4,5.9,6.6,6.0
tt4699254,6.3,5.8,5.0,4.2,5.3,5.6
tt4699388,6.3,6.4,6.3,6.3,6.2,6.5
tt4699434,5.1,4.8,5.2,4.0,4.1,6.5
tt4699444,6.2,6.6,6.2,6.2,6.2,6.4
tt4699534,5.8,6.1,5.8,5.6,5.8,5.9
tt4699624,2.5,3.3,2.2,2.8,2.5,2.8
tt4699658,6.6,5.7,7.0,6.3,6.7,5.8
tt4700190,5.3,4.6,5.0,5.1,4.8,5.1
tt4700248,6.5,7.2,6.9,6.4,6.5,6.8
tt4700756,5.1,4.8,4.0,5.8,4.5,6.3
tt4700872,3.1,4.2,3.2,2.7,3.0,2.2
tt4701182,6.8,6.9,6.7,6.7,6.7,7.0
tt4701426,6.5,7.3,6.3,6.1,6.5,6.5
tt4701578,4.6,4.2,5.5,5.5,4.6,5.9
tt4701630,6.2,5.2,4.8,3.2,4.8,3.0
tt4701660,6.2,6.3,6.2,6.0,6.2,6.3
tt4701688,7.0,7.1,6.7,4.3,6.9,6.9
tt4701702,7.0,7.2,7.0,6.8,7.0,7.0
tt4701724,6.1,6.2,6.0,6.2,6.1,6.1
tt4701906,5.8,5.4,6.0,5.2,5.7,5.6
tt4701908,6.1,6.7,6.0,5.9,6.1,6.0
tt4702118,5.9,5.2,5.8,5.9,5.6,6.7
tt4702346,6.9,7.1,6.0,5.7,6.1,6.4
tt4702528,6.9,7.0,6.9,6.7,6.8,7.1
tt4702752,6.5,6.4,6.4,6.8,6.5,7.0
tt4702826,5.7,6.0,5.7,5.5,5.7,5.8
tt4703048,6.2,6.2,6.1,6.3,6.2,6.2
tt4703424,5.4,5.7,5.4,5.4,5.5,5.4
tt4703676,6.1,6.0,5.9,6.1,5.7,6.4
tt4704422,6.7,7.0,6.6,6.5,6.6,7.1
tt4705170,6.8,5.8,7.4,6.5,6.5,6.9
tt4705740,5.0,4.9,5.4,4.9,4.8,6.1
